ts,type,anon_id,candidate,internship_id,title,score
2025-09-21T08:49:40.711891,impression,9b254237bcc7525c54c687c67564eed88ec21cea0808054ff7b3f83532cc8652,"{""education"": ""12th"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""hyderabad""]}",298,sports analytics intern,54.468466001885965
2025-09-21T08:49:40.735000,impression,9b254237bcc7525c54c687c67564eed88ec21cea0808054ff7b3f83532cc8652,"{""education"": ""12th"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""hyderabad""]}",320,sports analytics intern,54.468466001885965
2025-09-21T08:49:40.754890,impression,9b254237bcc7525c54c687c67564eed88ec21cea0808054ff7b3f83532cc8652,"{""education"": ""12th"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""hyderabad""]}",404,sports analytics intern,54.468466001885965
2025-09-21T08:49:40.775476,impression,9b254237bcc7525c54c687c67564eed88ec21cea0808054ff7b3f83532cc8652,"{""education"": ""12th"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""hyderabad""]}",438,sports analytics intern,54.468466001885965
2025-09-21T09:13:31.080450,impression,c78995e3ecf639bf361f44944ab77126c076cff8e50f041f61494f1424971c29,"{""education"": ""b.tech"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""gurugram""]}",43,sports analytics intern,52.072088188129605
2025-09-21T09:13:31.147447,impression,c78995e3ecf639bf361f44944ab77126c076cff8e50f041f61494f1424971c29,"{""education"": ""b.tech"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""gurugram""]}",49,sports analytics intern,52.072088188129605
2025-09-21T09:13:31.191995,impression,c78995e3ecf639bf361f44944ab77126c076cff8e50f041f61494f1424971c29,"{""education"": ""b.tech"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""gurugram""]}",290,sports analytics intern,52.072088188129605
2025-09-21T09:13:31.250389,impression,c78995e3ecf639bf361f44944ab77126c076cff8e50f041f61494f1424971c29,"{""education"": ""b.tech"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""gurugram""]}",298,sports analytics intern,52.072088188129605
2025-09-21T09:13:31.293950,impression,c78995e3ecf639bf361f44944ab77126c076cff8e50f041f61494f1424971c29,"{""education"": ""b.tech"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""gurugram""]}",320,sports analytics intern,52.072088188129605
2025-09-21T09:13:31.340769,impression,c78995e3ecf639bf361f44944ab77126c076cff8e50f041f61494f1424971c29,"{""education"": ""b.tech"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""gurugram""]}",404,sports analytics intern,52.072088188129605
2025-09-21T09:13:54.026391,feedback,c78995e3ecf639bf361f44944ab77126c076cff8e50f041f61494f1424971c29,"{""education"": ""b.tech"", ""skills"": [""data visualization"", ""python"", ""sql""], ""sector"": [""it""], ""location"": [""gurugram""]}",43,sports analytics intern,52.072088188129605,useful
2025-09-21T12:15:55.844845,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",81,strategy analytics intern,34.73942400080177
2025-09-21T12:15:55.906157,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",103,strategy analytics intern,34.73942400080177
2025-09-21T12:15:55.938344,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",105,strategy analytics intern,34.73942400080177
2025-09-21T12:15:55.957136,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",131,strategy analytics intern,34.73942400080177
2025-09-21T12:15:55.984016,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",225,strategy analytics intern,34.73942400080177
2025-09-21T12:16:11.573828,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",81,strategy analytics intern,34.73942400080177
2025-09-21T12:16:11.619966,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",103,strategy analytics intern,34.73942400080177
2025-09-21T12:16:11.648284,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",105,strategy analytics intern,34.73942400080177
2025-09-21T12:16:11.683121,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",131,strategy analytics intern,34.73942400080177
2025-09-21T12:16:11.712521,impression,815567befbca088ad52d64ea0cda5ab176d1fc96f75222bb42a5fca5ad0a53eb,"{""education"": ""b.tech"", ""skills"": [""analytics"", ""python""], ""sector"": [""marketing""], ""location"": [""delhi""]}",225,strategy analytics intern,34.73942400080177
